Lemma('long.a.01.long'): {'lemma': 'long', 'pos': 'ADJ', 'synset': Synset('long.a.01')}
Lemma('run.n.06.run'): {'lemma': 'run', 'pos': 'NOUN', 'synset': Synset('run.n.06')}
Lemma('deplorable.s.01.deplorable'): {'lemma': 'deplorable', 'pos': 'ADJ', 'synset': Synset('deplorable.s.01')}
Lemma('target.n.03.target'): {'lemma': 'target', 'pos': 'NOUN', 'synset': Synset('target.n.03')}
Lemma('score.v.01.score'): {'lemma': 'score', 'pos': 'VERB', 'synset': Synset('score.v.01')}
Lemma('explode.v.01.blow_up'): {'lemma': 'blow_up', 'pos': 'VERB', 'synset': Synset('explode.v.01')}
Lemma('load.n.01.load'): {'lemma': 'load', 'pos': 'NOUN', 'synset': Synset('load.n.01')}
Lemma('close.r.02.tight'): {'lemma': 'tight', 'pos': 'ADV', 'synset': Synset('close.r.02')}
Lemma('pass.n.04.pass'): {'lemma': 'pass', 'pos': 'NOUN', 'synset': Synset('pass.n.04')}
Lemma('base.n.14.home'): {'lemma': 'home', 'pos': 'NOUN', 'synset': Synset('base.n.14')}
Lemma('deep.a.01.deep'): {'lemma': 'deep', 'pos': 'ADJ', 'synset': Synset('deep.a.01')}
Lemma('dive.n.02.dive'): {'lemma': 'dive', 'pos': 'NOUN', 'synset': Synset('dive.n.02')}
Lemma('breathe.v.01.take_a_breath'): {'lemma': 'take_a_breath', 'pos': 'VERB', 'synset': Synset('breathe.v.01')}
Lemma('immerse.v.01.plunge'): {'lemma': 'plunge', 'pos': 'VERB', 'synset': Synset('immerse.v.01')}
Lemma('gasoline.n.01.gas'): {'lemma': 'gas', 'pos': 'NOUN', 'synset': Synset('gasoline.n.01')}
Lemma('check.n.06.check'): {'lemma': 'check', 'pos': 'NOUN', 'synset': Synset('check.n.06')}
Lemma('chime_in.v.01.break_in'): {'lemma': 'break_in', 'pos': 'VERB', 'synset': Synset('chime_in.v.01')}
Lemma('bogy.n.01.bogy'): {'lemma': 'bogy', 'pos': 'NOUN', 'synset': Synset('bogy.n.01')}
Lemma('level.s.04.level'): {'lemma': 'level', 'pos': 'ADJ', 'synset': Synset('level.s.04')}
Lemma('jerk.v.05.flick'): {'lemma': 'flick', 'pos': 'VERB', 'synset': Synset('jerk.v.05')}
Lemma('control_panel.n.01.instrument_panel'): {'lemma': 'instrument_panel', 'pos': 'NOUN', 'synset': Synset('control_panel.n.01')}
Lemma('gray.n.01.gray'): {'lemma': 'gray', 'pos': 'NOUN', 'synset': Synset('gray.n.01')}
Lemma('ally.n.02.friend'): {'lemma': 'friend', 'pos': 'NOUN', 'synset': Synset('ally.n.02')}
Lemma('answer.v.03.answer'): {'lemma': 'answer', 'pos': 'VERB', 'synset': Synset('answer.v.03')}
Lemma('excitedly.r.01.excitedly'): {'lemma': 'excitedly', 'pos': 'ADV', 'synset': Synset('excitedly.r.01')}
Lemma('hopefully.r.01.hopefully'): {'lemma': 'hopefully', 'pos': 'ADV', 'synset': Synset('hopefully.r.01')}
Lemma('flick.v.02.flick'): {'lemma': 'flick', 'pos': 'VERB', 'synset': Synset('flick.v.02')}
Lemma('mental_picture.n.01.mental_picture'): {'lemma': 'mental_picture', 'pos': 'NOUN', 'synset': Synset('mental_picture.n.01')}
Lemma('pin_down.v.01.narrow_down'): {'lemma': 'narrow_down', 'pos': 'VERB', 'synset': Synset('pin_down.v.01')}
Lemma('tactically.r.01.tactically'): {'lemma': 'tactically', 'pos': 'ADV', 'synset': Synset('tactically.r.01')}
Lemma('military_position.n.01.position'): {'lemma': 'position', 'pos': 'NOUN', 'synset': Synset('military_position.n.01')}
Lemma('correct.a.01.correct'): {'lemma': 'correct', 'pos': 'ADJ', 'synset': Synset('correct.a.01')}
Lemma('maneuverability.n.01.maneuverability'): {'lemma': 'maneuverability', 'pos': 'NOUN', 'synset': Synset('maneuverability.n.01')}
Lemma('firepower.n.01.firepower'): {'lemma': 'firepower', 'pos': 'NOUN', 'synset': Synset('firepower.n.01')}
Lemma('altitude.n.01.altitude'): {'lemma': 'altitude', 'pos': 'NOUN', 'synset': Synset('altitude.n.01')}
Lemma('exploit.v.01.exploit'): {'lemma': 'exploit', 'pos': 'VERB', 'synset': Synset('exploit.v.01')}
Lemma('conspicuous.a.01.conspicuous'): {'lemma': 'conspicuous', 'pos': 'ADJ', 'synset': Synset('conspicuous.a.01')}
Lemma('deviate.v.01.deviate'): {'lemma': 'deviate', 'pos': 'VERB', 'synset': Synset('deviate.v.01')}
Lemma('moment.n.02.second'): {'lemma': 'second', 'pos': 'NOUN', 'synset': Synset('moment.n.02')}
Lemma('hit_the_dirt.v.01.hit_the_deck'): {'lemma': 'hit_the_deck', 'pos': 'VERB', 'synset': Synset('hit_the_dirt.v.01')}
Lemma('left.r.01.left'): {'lemma': 'left', 'pos': 'ADV', 'synset': Synset('left.r.01')}
Lemma('right.r.04.right'): {'lemma': 'right', 'pos': 'ADV', 'synset': Synset('right.r.04')}
Lemma('jap.n.01.Jap'): {'lemma': 'jap', 'pos': 'NOUN', 'synset': Synset('jap.n.01')}
Lemma('stick.n.03.stick'): {'lemma': 'stick', 'pos': 'NOUN', 'synset': Synset('stick.n.03')}
Lemma('beautifully.r.01.beautifully'): {'lemma': 'beautifully', 'pos': 'ADV', 'synset': Synset('beautifully.r.01')}
Lemma('airspeed.n.01.airspeed'): {'lemma': 'airspeed', 'pos': 'NOUN', 'synset': Synset('airspeed.n.01')}
Lemma('indicator.n.03.indicator'): {'lemma': 'indicator', 'pos': 'NOUN', 'synset': Synset('indicator.n.03')}
Lemma('level.v.06.level_off'): {'lemma': 'level_off', 'pos': 'VERB', 'synset': Synset('level.v.06')}
Lemma('opponent.s.01.opposing'): {'lemma': 'opposing', 'pos': 'ADJ', 'synset': Synset('opponent.s.01')}
Lemma('approach.v.01.come_on'): {'lemma': 'come_on', 'pos': 'VERB', 'synset': Synset('approach.v.01')}
Lemma('air_corps.n.01.Air_Corps'): {'lemma': 'air_corps', 'pos': 'NOUN', 'synset': Synset('air_corps.n.01')}
Lemma('camouflage.v.01.camouflage'): {'lemma': 'camouflage', 'pos': 'VERB', 'synset': Synset('camouflage.v.01')}
Lemma('get_by.v.02.get_by'): {'lemma': 'get_by', 'pos': 'VERB', 'synset': Synset('get_by.v.02')}
Lemma('east.n.01.east'): {'lemma': 'east', 'pos': 'NOUN', 'synset': Synset('east.n.01')}
Lemma('drop_back.v.01.drop_back'): {'lemma': 'drop_back', 'pos': 'VERB', 'synset': Synset('drop_back.v.01')}
Lemma('unmistakable.s.01.unmistakable'): {'lemma': 'unmistakable', 'pos': 'ADJ', 'synset': Synset('unmistakable.s.01')}
Lemma('show.v.08.show_up'): {'lemma': 'show_up', 'pos': 'VERB', 'synset': Synset('show.v.08')}
Lemma('speck.n.01.pinpoint'): {'lemma': 'pinpoint', 'pos': 'NOUN', 'synset': Synset('speck.n.01')}
Lemma('gloom.n.01.gloom'): {'lemma': 'gloom', 'pos': 'NOUN', 'synset': Synset('gloom.n.01')}
Lemma('switch_on.v.01.turn_on'): {'lemma': 'turn_on', 'pos': 'VERB', 'synset': Synset('switch_on.v.01')}
Lemma('point.n.09.dot'): {'lemma': 'dot', 'pos': 'NOUN', 'synset': Synset('point.n.09')}
Lemma('yellow.s.01.yellow'): {'lemma': 'yellow', 'pos': 'ADJ', 'synset': Synset('yellow.s.01')}
Lemma('reflecting_telescope.n.01.reflector'): {'lemma': 'reflector', 'pos': 'NOUN', 'synset': Synset('reflecting_telescope.n.01')}
Lemma('field_glass.n.01.glass'): {'lemma': 'glass', 'pos': 'NOUN', 'synset': Synset('field_glass.n.01')}
Lemma('arm.v.01.arm'): {'lemma': 'arm', 'pos': 'VERB', 'synset': Synset('arm.v.01')}
Lemma('pass.n.07.pass'): {'lemma': 'pass', 'pos': 'NOUN', 'synset': Synset('pass.n.07')}
Lemma('turn.n.02.turn'): {'lemma': 'turn', 'pos': 'NOUN', 'synset': Synset('turn.n.02')}
Lemma('attack.n.01.attack'): {'lemma': 'attack', 'pos': 'NOUN', 'synset': Synset('attack.n.01')}
Lemma('breakaway.n.01.breakaway'): {'lemma': 'breakaway', 'pos': 'NOUN', 'synset': Synset('breakaway.n.01')}
Lemma('barrel_roll.n.01.barrel_roll'): {'lemma': 'barrel_roll', 'pos': 'NOUN', 'synset': Synset('barrel_roll.n.01')}
Lemma('bring_out.v.02.bring_out'): {'lemma': 'bring_out', 'pos': 'VERB', 'synset': Synset('bring_out.v.02')}
Lemma('firewall.n.01.firewall'): {'lemma': 'firewall', 'pos': 'NOUN', 'synset': Synset('firewall.n.01')}
Lemma('force.v.06.ram'): {'lemma': 'ram', 'pos': 'VERB', 'synset': Synset('force.v.06')}
Lemma('revolutions_per_minute.n.01.rpm'): {'lemma': 'rpm', 'pos': 'NOUN', 'synset': Synset('revolutions_per_minute.n.01')}
Lemma('identifiable.a.01.identifiable'): {'lemma': 'identifiable', 'pos': 'ADJ', 'synset': Synset('identifiable.a.01')}
Lemma('hit.v.01.hit'): {'lemma': 'hit', 'pos': 'VERB', 'synset': Synset('hit.v.01')}
Lemma('sag.v.01.sag'): {'lemma': 'sag', 'pos': 'VERB', 'synset': Synset('sag.v.01')}
Lemma('recess.n.02.corner'): {'lemma': 'corner', 'pos': 'NOUN', 'synset': Synset('recess.n.02')}
Lemma('wingman.n.01.wingman'): {'lemma': 'wingman', 'pos': 'NOUN', 'synset': Synset('wingman.n.01')}
Lemma('shoot_up.v.01.shoot_up'): {'lemma': 'shoot_up', 'pos': 'VERB', 'synset': Synset('shoot_up.v.01')}
Lemma('rapid.s.01.rapid'): {'lemma': 'rapid', 'pos': 'ADJ', 'synset': Synset('rapid.s.01')}
Lemma('closing.n.03.closure'): {'lemma': 'closure', 'pos': 'NOUN', 'synset': Synset('closing.n.03')}
Lemma('damage.n.02.damage'): {'lemma': 'damage', 'pos': 'NOUN', 'synset': Synset('damage.n.02')}
Lemma('duck.n.01.duck'): {'lemma': 'duck', 'pos': 'NOUN', 'synset': Synset('duck.n.01')}
Lemma('half_gainer.n.01.half_gainer'): {'lemma': 'half_gainer', 'pos': 'NOUN', 'synset': Synset('half_gainer.n.01')}
Lemma('diving_board.n.01.diving_board'): {'lemma': 'diving_board', 'pos': 'NOUN', 'synset': Synset('diving_board.n.01')}
Lemma('tighten.v.01.tighten'): {'lemma': 'tighten', 'pos': 'VERB', 'synset': Synset('tighten.v.01')}
Lemma('lead.n.05.lead'): {'lemma': 'lead', 'pos': 'NOUN', 'synset': Synset('lead.n.05')}
Lemma('radius.n.02.radius'): {'lemma': 'radius', 'pos': 'NOUN', 'synset': Synset('radius.n.02')}
Lemma('round.a.01.circular'): {'lemma': 'circular', 'pos': 'ADJ', 'synset': Synset('round.a.01')}
Lemma('swerve.v.01.veer'): {'lemma': 'veer', 'pos': 'VERB', 'synset': Synset('swerve.v.01')}
Lemma('etch.v.01.etch'): {'lemma': 'etch', 'pos': 'VERB', 'synset': Synset('etch.v.01')}
Lemma('disappear.v.01.vanish'): {'lemma': 'vanish', 'pos': 'VERB', 'synset': Synset('disappear.v.01')}
Lemma('pull.v.01.draw'): {'lemma': 'draw', 'pos': 'VERB', 'synset': Synset('pull.v.01')}
Lemma('luck.n.03.luck'): {'lemma': 'luck', 'pos': 'NOUN', 'synset': Synset('luck.n.03')}
Lemma('fusillade.n.01.burst'): {'lemma': 'burst', 'pos': 'NOUN', 'synset': Synset('fusillade.n.01')}
Lemma('hold.v.13.hold'): {'lemma': 'hold', 'pos': 'VERB', 'synset': Synset('hold.v.13')}
Lemma('section.n.04.section'): {'lemma': 'section', 'pos': 'NOUN', 'synset': Synset('section.n.04')}
Lemma('propeller.n.01.propeller'): {'lemma': 'propeller', 'pos': 'NOUN', 'synset': Synset('propeller.n.01')}
Lemma('hood.n.09.cowling'): {'lemma': 'cowling', 'pos': 'NOUN', 'synset': Synset('hood.n.09')}
Lemma('inverted.s.01.inverted'): {'lemma': 'inverted', 'pos': 'ADJ', 'synset': Synset('inverted.s.01')}
Lemma('head.v.04.head_up'): {'lemma': 'head_up', 'pos': 'VERB', 'synset': Synset('head.v.04')}
Lemma('drop.v.03.drop'): {'lemma': 'drop', 'pos': 'VERB', 'synset': Synset('drop.v.03')}
Lemma('clear.s.05.clear'): {'lemma': 'clear', 'pos': 'ADJ', 'synset': Synset('clear.s.05')}
Lemma('rudder.n.01.rudder'): {'lemma': 'rudder', 'pos': 'NOUN', 'synset': Synset('rudder.n.01')}
Lemma('dizziness.n.01.vertigo'): {'lemma': 'vertigo', 'pos': 'NOUN', 'synset': Synset('dizziness.n.01')}
Lemma('control.n.09.control'): {'lemma': 'control', 'pos': 'NOUN', 'synset': Synset('control.n.09')}
Lemma('pop_out.v.01.pop_out'): {'lemma': 'pop_out', 'pos': 'VERB', 'synset': Synset('pop_out.v.01')}
Lemma('slickness.n.03.slick'): {'lemma': 'slick', 'pos': 'NOUN', 'synset': Synset('slickness.n.03')}
Lemma('palm.n.01.palm'): {'lemma': 'palm', 'pos': 'NOUN', 'synset': Synset('palm.n.01')}
Lemma('handle.n.01.grip'): {'lemma': 'grip', 'pos': 'NOUN', 'synset': Synset('handle.n.01')}
Lemma('root.n.03.stem'): {'lemma': 'stem', 'pos': 'NOUN', 'synset': Synset('root.n.03')}
Lemma('detail.n.02.item'): {'lemma': 'item', 'pos': 'NOUN', 'synset': Synset('detail.n.02')}
Lemma('athapaskan.n.02.Athabascan'): {'lemma': 'athabascan', 'pos': 'NOUN', 'synset': Synset('athapaskan.n.02')}
Lemma('fact.n.04.fact'): {'lemma': 'fact', 'pos': 'NOUN', 'synset': Synset('fact.n.04')}
Lemma('diverge.v.01.diverge'): {'lemma': 'diverge', 'pos': 'VERB', 'synset': Synset('diverge.v.01')}
Lemma('proto.s.01.proto'): {'lemma': 'proto', 'pos': 'ADJ', 'synset': Synset('proto.s.01')}
Lemma('mariposan.n.01.Yokuts'): {'lemma': 'yokuts', 'pos': 'NOUN', 'synset': Synset('mariposan.n.01')}
Lemma('divergence.n.01.divergence'): {'lemma': 'divergence', 'pos': 'NOUN', 'synset': Synset('divergence.n.01')}
Lemma('detached.s.02.separated'): {'lemma': 'separated', 'pos': 'ADJ', 'synset': Synset('detached.s.02')}
Lemma('differentiation.n.01.differentiation'): {'lemma': 'differentiation', 'pos': 'NOUN', 'synset': Synset('differentiation.n.01')}
Lemma('show.v.10.show'): {'lemma': 'show', 'pos': 'VERB', 'synset': Synset('show.v.10')}
Lemma('read.v.08.show'): {'lemma': 'show', 'pos': 'VERB', 'synset': Synset('read.v.08')}
Lemma('slot.n.01.slot'): {'lemma': 'slot', 'pos': 'NOUN', 'synset': Synset('slot.n.01')}
Lemma('twenty-four.n.01.24'): {'lemma': '24', 'pos': 'NOUN', 'synset': Synset('twenty-four.n.01')}
Lemma('twenty-one.n.01.21'): {'lemma': '21', 'pos': 'NOUN', 'synset': Synset('twenty-one.n.01')}
Lemma('subtraction.n.02.deduction'): {'lemma': 'deduction', 'pos': 'NOUN', 'synset': Synset('subtraction.n.02')}
Lemma('one-eighth.n.01.one-eighth'): {'lemma': 'one-eighth', 'pos': 'NOUN', 'synset': Synset('one-eighth.n.01')}
Lemma('general.s.02.general'): {'lemma': 'general', 'pos': 'ADJ', 'synset': Synset('general.s.02')}
Lemma('class.n.01.family'): {'lemma': 'family', 'pos': 'NOUN', 'synset': Synset('class.n.01')}
Lemma('set.n.02.set'): {'lemma': 'set', 'pos': 'NOUN', 'synset': Synset('set.n.02')}
Lemma('vocabulary.n.01.vocabulary'): {'lemma': 'vocabulary', 'pos': 'NOUN', 'synset': Synset('vocabulary.n.01')}
Lemma('unambiguity.n.01.unambiguity'): {'lemma': 'unambiguity', 'pos': 'NOUN', 'synset': Synset('unambiguity.n.01')}
Lemma('informant.n.01.informant'): {'lemma': 'informant', 'pos': 'NOUN', 'synset': Synset('informant.n.01')}
Lemma('consistent.s.04.uniform'): {'lemma': 'uniform', 'pos': 'ADJ', 'synset': Synset('consistent.s.04')}
Lemma('glottochronological.a.01.glottochronological'): {'lemma': 'glottochronological', 'pos': 'ADJ', 'synset': Synset('glottochronological.a.01')}
Lemma('obviate.v.01.eliminate'): {'lemma': 'eliminate', 'pos': 'VERB', 'synset': Synset('obviate.v.01')}
Lemma('geographically.r.01.geographically'): {'lemma': 'geographically', 'pos': 'ADV', 'synset': Synset('geographically.r.01')}
Lemma('specifically.r.01.specifically'): {'lemma': 'specifically', 'pos': 'ADV', 'synset': Synset('specifically.r.01')}
Lemma('adapt.v.01.adapt'): {'lemma': 'adapt', 'pos': 'VERB', 'synset': Synset('adapt.v.01')}
Lemma('four.n.01.4'): {'lemma': '4', 'pos': 'NOUN', 'synset': Synset('four.n.01')}
Lemma('plant.n.02.plant'): {'lemma': 'plant', 'pos': 'NOUN', 'synset': Synset('plant.n.02')}
Lemma('sixteen.n.01.16'): {'lemma': '16', 'pos': 'NOUN', 'synset': Synset('sixteen.n.01')}
Lemma('denote.v.02.denote'): {'lemma': 'denote', 'pos': 'VERB', 'synset': Synset('denote.v.02')}
Lemma('species.n.01.species'): {'lemma': 'species', 'pos': 'NOUN', 'synset': Synset('species.n.01')}
Lemma('genus.n.02.genus'): {'lemma': 'genus', 'pos': 'NOUN', 'synset': Synset('genus.n.02')}
Lemma('fox.n.01.fox'): {'lemma': 'fox', 'pos': 'NOUN', 'synset': Synset('fox.n.01')}
Lemma('vulture.n.01.vulture'): {'lemma': 'vulture', 'pos': 'NOUN', 'synset': Synset('vulture.n.01')}
Lemma('salmon.n.01.salmon'): {'lemma': 'salmon', 'pos': 'NOUN', 'synset': Synset('salmon.n.01')}
Lemma('yellow_pine.n.01.yellow_pine'): {'lemma': 'yellow_pine', 'pos': 'NOUN', 'synset': Synset('yellow_pine.n.01')}
Lemma('manzanita.n.01.manzanita'): {'lemma': 'manzanita', 'pos': 'NOUN', 'synset': Synset('manzanita.n.01')}
Lemma('madrona.n.01.manzanita'): {'lemma': 'manzanita', 'pos': 'NOUN', 'synset': Synset('madrona.n.01')}
Lemma('restrict.v.02.restrict'): {'lemma': 'restrict', 'pos': 'VERB', 'synset': Synset('restrict.v.02')}
Lemma('generalization.n.02.generalization'): {'lemma': 'generalization', 'pos': 'NOUN', 'synset': Synset('generalization.n.02')}
Lemma('perennial.s.03.recurrent'): {'lemma': 'recurrent', 'pos': 'ADJ', 'synset': Synset('perennial.s.03')}
Lemma('fish.n.01.fish'): {'lemma': 'fish', 'pos': 'NOUN', 'synset': Synset('fish.n.01')}
Lemma('horn.n.02.horn'): {'lemma': 'horn', 'pos': 'NOUN', 'synset': Synset('horn.n.02')}
Lemma('root.n.01.root'): {'lemma': 'root', 'pos': 'NOUN', 'synset': Synset('root.n.01')}
Lemma('question.n.03.interrogative'): {'lemma': 'interrogative', 'pos': 'NOUN', 'synset': Synset('question.n.03')}
Lemma('demonstrative_pronoun.n.01.demonstrative'): {'lemma': 'demonstrative', 'pos': 'NOUN', 'synset': Synset('demonstrative_pronoun.n.01')}
Lemma('sanely.r.01.reasonably'): {'lemma': 'reasonably', 'pos': 'ADV', 'synset': Synset('sanely.r.01')}
Lemma('body_part.n.01.body_part'): {'lemma': 'body_part', 'pos': 'NOUN', 'synset': Synset('body_part.n.01')}
Lemma('proportionately.r.01.proportionally'): {'lemma': 'proportionally', 'pos': 'ADV', 'synset': Synset('proportionately.r.01')}
Lemma('twenty-five.n.01.25'): {'lemma': '25', 'pos': 'NOUN', 'synset': Synset('twenty-five.n.01')}
Lemma('hundred.n.01.100'): {'lemma': '100', 'pos': 'NOUN', 'synset': Synset('hundred.n.01')}
Lemma('turn_out.v.04.come_out'): {'lemma': 'come_out', 'pos': 'VERB', 'synset': Synset('turn_out.v.04')}
Lemma('ratio.n.01.ratio'): {'lemma': 'ratio', 'pos': 'NOUN', 'synset': Synset('ratio.n.01')}
Lemma('twenty-nine.n.01.29'): {'lemma': '29', 'pos': 'NOUN', 'synset': Synset('twenty-nine.n.01')}
Lemma('seventeen.n.01.17'): {'lemma': '17', 'pos': 'NOUN', 'synset': Synset('seventeen.n.01')}
Lemma('adjective.n.02.adjective'): {'lemma': 'adjective', 'pos': 'NOUN', 'synset': Synset('adjective.n.02')}
Lemma('fifteen.n.01.15'): {'lemma': '15', 'pos': 'NOUN', 'synset': Synset('fifteen.n.01')}
Lemma('verb.n.02.verb'): {'lemma': 'verb', 'pos': 'NOUN', 'synset': Synset('verb.n.02')}
Lemma('nine.n.01.9'): {'lemma': '9', 'pos': 'NOUN', 'synset': Synset('nine.n.01')}
Lemma('twenty-two.n.01.22'): {'lemma': '22', 'pos': 'NOUN', 'synset': Synset('twenty-two.n.01')}
Lemma('place.v.06.come_out'): {'lemma': 'come_out', 'pos': 'VERB', 'synset': Synset('place.v.06')}
Lemma('five.n.01.5'): {'lemma': '5', 'pos': 'NOUN', 'synset': Synset('five.n.01')}
Lemma('low.s.04.low'): {'lemma': 'low', 'pos': 'ADJ', 'synset': Synset('low.s.04')}
Lemma('exception.n.02.exception'): {'lemma': 'exception', 'pos': 'NOUN', 'synset': Synset('exception.n.02')}
Lemma('habit.n.02.use'): {'lemma': 'use', 'pos': 'NOUN', 'synset': Synset('habit.n.02')}
Lemma('lastingness.n.01.durability'): {'lemma': 'durability', 'pos': 'NOUN', 'synset': Synset('lastingness.n.01')}
Lemma('part_of_speech.n.01.word_class'): {'lemma': 'word_class', 'pos': 'NOUN', 'synset': Synset('part_of_speech.n.01')}
Lemma('liability.n.01.liability'): {'lemma': 'liability', 'pos': 'NOUN', 'synset': Synset('liability.n.01')}
Lemma('substitute.n.01.replacement'): {'lemma': 'replacement', 'pos': 'NOUN', 'synset': Synset('substitute.n.01')}
Lemma('consistency.n.02.consistence'): {'lemma': 'consistence', 'pos': 'NOUN', 'synset': Synset('consistency.n.02')}
Lemma('linguistically.r.02.lingually'): {'lemma': 'lingually', 'pos': 'ADV', 'synset': Synset('linguistically.r.02')}
Lemma('allowance.n.04.allowance'): {'lemma': 'allowance', 'pos': 'NOUN', 'synset': Synset('allowance.n.04')}
Lemma('synonym.n.01.synonym'): {'lemma': 'synonym', 'pos': 'NOUN', 'synset': Synset('synonym.n.01')}
Lemma('far.s.02.far'): {'lemma': 'far', 'pos': 'ADJ', 'synset': Synset('far.s.02')}
Lemma('dead.n.01.dead'): {'lemma': 'dead', 'pos': 'NOUN', 'synset': Synset('dead.n.01')}
Lemma('table.v.02.tabulate'): {'lemma': 'tabulate', 'pos': 'VERB', 'synset': Synset('table.v.02')}
Lemma('column.n.03.column'): {'lemma': 'column', 'pos': 'NOUN', 'synset': Synset('column.n.03')}
Lemma('express.v.04.express'): {'lemma': 'express', 'pos': 'VERB', 'synset': Synset('express.v.04')}
Lemma('three.n.01.3'): {'lemma': '3', 'pos': 'NOUN', 'synset': Synset('three.n.01')}
Lemma('class.n.01.category'): {'lemma': 'category', 'pos': 'NOUN', 'synset': Synset('class.n.01')}
Lemma('mismatched.s.02.uneven'): {'lemma': 'uneven', 'pos': 'ADJ', 'synset': Synset('mismatched.s.02')}
Lemma('namely.r.01.namely'): {'lemma': 'namely', 'pos': 'ADV', 'synset': Synset('namely.r.01')}
Lemma('twenty.n.01.20'): {'lemma': '20', 'pos': 'NOUN', 'synset': Synset('twenty.n.01')}
Lemma('eleven.n.01.11'): {'lemma': '11', 'pos': 'NOUN', 'synset': Synset('eleven.n.01')}
Lemma('corresponding.s.02.corresponding'): {'lemma': 'corresponding', 'pos': 'ADJ', 'synset': Synset('corresponding.s.02')}
Lemma('spread.v.07.spread'): {'lemma': 'spread', 'pos': 'VERB', 'synset': Synset('spread.v.07')}
Lemma('headed.a.02.headed'): {'lemma': 'headed', 'pos': 'ADJ', 'synset': Synset('headed.a.02')}
Lemma('artificially.r.01.artificially'): {'lemma': 'artificially', 'pos': 'ADV', 'synset': Synset('artificially.r.01')}
Lemma('comparable.s.02.corresponding'): {'lemma': 'corresponding', 'pos': 'ADJ', 'synset': Synset('comparable.s.02')}
Lemma('varying.s.01.variable'): {'lemma': 'variable', 'pos': 'ADJ', 'synset': Synset('varying.s.01')}
Lemma('eventuate.v.01.eventuate'): {'lemma': 'eventuate', 'pos': 'VERB', 'synset': Synset('eventuate.v.01')}
Lemma('case.n.11.case'): {'lemma': 'case', 'pos': 'NOUN', 'synset': Synset('case.n.11')}
Lemma('nineteen.n.01.19'): {'lemma': '19', 'pos': 'NOUN', 'synset': Synset('nineteen.n.01')}
Lemma('fourteen.n.01.14'): {'lemma': '14', 'pos': 'NOUN', 'synset': Synset('fourteen.n.01')}
Lemma('twelve.n.01.12'): {'lemma': '12', 'pos': 'NOUN', 'synset': Synset('twelve.n.01')}
Lemma('frequency.n.03.frequency'): {'lemma': 'frequency', 'pos': 'NOUN', 'synset': Synset('frequency.n.03')}
Lemma('grade.n.02.grade'): {'lemma': 'grade', 'pos': 'NOUN', 'synset': Synset('grade.n.02')}
Lemma('three.n.01.three'): {'lemma': 'three', 'pos': 'NOUN', 'synset': Synset('three.n.01')}
Lemma('sum_up.v.01.summarize'): {'lemma': 'summarize', 'pos': 'VERB', 'synset': Synset('sum_up.v.01')}
Lemma('average.v.03.average'): {'lemma': 'average', 'pos': 'VERB', 'synset': Synset('average.v.03')}
Lemma('divide.v.02.divide'): {'lemma': 'divide', 'pos': 'VERB', 'synset': Synset('divide.v.02')}
Lemma('render.v.04.give'): {'lemma': 'give', 'pos': 'VERB', 'synset': Synset('render.v.04')}
Lemma('mean.n.01.mean'): {'lemma': 'mean', 'pos': 'NOUN', 'synset': Synset('mean.n.01')}
Lemma('accordant.s.02.concordant'): {'lemma': 'concordant', 'pos': 'ADJ', 'synset': Synset('accordant.s.02')}
Lemma('zero.n.02.0'): {'lemma': '0', 'pos': 'NOUN', 'synset': Synset('zero.n.02')}
Lemma('random.a.01.random'): {'lemma': 'random', 'pos': 'ADJ', 'synset': Synset('random.a.01')}
Lemma('correlation.n.01.correlation'): {'lemma': 'correlation', 'pos': 'NOUN', 'synset': Synset('correlation.n.01')}
Lemma('involve.v.01.regard'): {'lemma': 'regard', 'pos': 'VERB', 'synset': Synset('involve.v.01')}
Lemma('shift.n.01.displacement'): {'lemma': 'displacement', 'pos': 'NOUN', 'synset': Synset('shift.n.01')}
Lemma('mon-khmer.n.01.Mon-Khmer'): {'lemma': 'mon-khmer', 'pos': 'NOUN', 'synset': Synset('mon-khmer.n.01')}
Lemma('ordinal_number.n.01.no.'): {'lemma': 'no.', 'pos': 'NOUN', 'synset': Synset('ordinal_number.n.01')}
Lemma('seven.n.01.7'): {'lemma': '7', 'pos': 'NOUN', 'synset': Synset('seven.n.01')}
Lemma('revised.s.01.revised'): {'lemma': 'revised', 'pos': 'ADJ', 'synset': Synset('revised.s.01')}
Lemma('retention.n.01.retention'): {'lemma': 'retention', 'pos': 'NOUN', 'synset': Synset('retention.n.01')}
Lemma('pace.n.03.rate'): {'lemma': 'rate', 'pos': 'NOUN', 'synset': Synset('pace.n.03')}
Lemma('erratically.r.01.unpredictably'): {'lemma': 'unpredictably', 'pos': 'ADV', 'synset': Synset('erratically.r.01')}
Lemma('continuity.n.03.persistence'): {'lemma': 'persistence', 'pos': 'NOUN', 'synset': Synset('continuity.n.03')}
Lemma('semantic.a.01.semantic'): {'lemma': 'semantic', 'pos': 'ADJ', 'synset': Synset('semantic.a.01')}
Lemma('amazingly.r.01.surprisingly'): {'lemma': 'surprisingly', 'pos': 'ADV', 'synset': Synset('amazingly.r.01')}
Lemma('changeless.s.02.unvarying'): {'lemma': 'unvarying', 'pos': 'ADJ', 'synset': Synset('changeless.s.02')}
Lemma('average.s.04.average'): {'lemma': 'average', 'pos': 'ADJ', 'synset': Synset('average.s.04')}
